Referência;;Cor;;Tamanho;Peça Boa
PRO-AMT07;PEÇAS DE AMOSTRA CAMISAS / BLUSAS;3;ÚNICA;P;Sem cód. barra
PRO-AMT07;PEÇAS DE AMOSTRA CAMISAS / BLUSAS;3;ÚNICA;M;Sem cód. barra
PRO-AMT07;PEÇAS DE AMOSTRA CAMISAS / BLUSAS;3;ÚNICA;G;Sem cód. barra
PRO-AMT07;PEÇAS DE AMOSTRA CAMISAS / BLUSAS;3;ÚNICA;GG;Sem cód. barra
PRO-AMT08;PEÇAS DE AMOSTRA MACACAO / MACAQUINHO;3;ÚNICA;PP;Sem cód. barra
PRO-AMT08;PEÇAS DE AMOSTRA MACACAO / MACAQUINHO;3;ÚNICA;P;Sem cód. barra
PRO-AMT08;PEÇAS DE AMOSTRA MACACAO / MACAQUINHO;3;ÚNICA;M;Sem cód. barra
PRO-AMT08;PEÇAS DE AMOSTRA MACACAO / MACAQUINHO;3;ÚNICA;G;Sem cód. barra
PRO-AMT08;PEÇAS DE AMOSTRA MACACAO / MACAQUINHO;3;ÚNICA;GG;Sem cód. barra
RAC0003;FFRV1716 SAIA SUB C/DET BOLSO;3;ÚNICA;P;7,89038E+12
;;;;;
RAC0003;FFRV1716 SAIA SUB C/DET BOLSO;3;ÚNICA;M;7,89038E+12
;;;;;
RAC0003;FFRV1716 SAIA SUB C/DET BOLSO;3;ÚNICA;G;7,89038E+12
;;;;;
RESB0002;BOLSA BUCKET 02 B6838;PRETO;PRETO;U;7,89723E+12
;;;;;
RESB0003;BOLSA CROSSBODY 03 B6839;MARROM;MARROM;U;7,89723E+12
;;;;;
RESB0004;BOLSA SHOPPING 04 B6841;PRETO;PRETO;U;7,89723E+12
;;;;;
RESB0005;BOLSA SHOPPING 05 B6840;MARROM 2;MARROM;U;7,89723E+12
;;;;;
RESB0006;BOLSA SHOPPING CAMURÇA  B6869;19-1317;MARROM (Bitter Chocolate TC);U;Sem cód. barra
REST0003;T-SHIRT PEDRAS;11-0601;BRANCO (Bright White TC);P;7,8904E+12
;;;;;
REST0003;T-SHIRT PEDRAS;11-0601;BRANCO (Bright White TC);M;7,8904E+12
;;;;;
REST0003;T-SHIRT PEDRAS;11-0601;BRANCO (Bright White TC);G;7,8904E+12
;;;;;
REST0003;T-SHIRT PEDRAS;11-0601;BRANCO (Bright White TC);GG;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;11-0602;BRANCO (off white);P;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;11-0602;BRANCO (off white);M;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;11-0602;BRANCO (off white);G;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;11-0602;BRANCO (off white);GG;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;15-1304;MARROM  (Humus TC);P;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;15-1304;MARROM  (Humus TC);M;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;15-1304;MARROM  (Humus TC);G;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;15-1304;MARROM  (Humus TC);GG;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;19-0000;PRETO (Raven TC);P;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;19-0000;PRETO (Raven TC);M;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;19-0000;PRETO (Raven TC);G;7,8904E+12
;;;;;
REST0004;SAIA MIDI COM RECORTES ;19-0000;PRETO (Raven TC);GG;7,8904E+12
;;;;;
REST0005;CHEMISE COM BOTÕES E TORCIDO;11-0602;BRANCO (off white);P;7,8904E+12
;;;;;
REST0005;CHEMISE COM BOTÕES E TORCIDO;11-0602;BRANCO (off white);M;7,8904E+12
;;;;;
REST0005;CHEMISE COM BOTÕES E TORCIDO;11-0602;BRANCO (off white);G;7,8904E+12
;;;;;
REST0005;CHEMISE COM BOTÕES E TORCIDO;11-0602;BRANCO (off white);GG;7,8904E+12
;;;;;
REST0005;CHEMISE COM BOTÕES E TORCIDO;19-4034;AZUL (Sailor Blue TCX) ;P;7,8904E+12
;;;;;
REST0005;CHEMISE COM BOTÕES E TORCIDO;19-4034;AZUL (Sailor Blue TCX) ;M;7,8904E+12
;;;;;
REST0005;CHEMISE COM BOTÕES E TORCIDO;19-4034;AZUL (Sailor Blue TCX) ;G;7,8904E+12
;;;;;
REST0005;CHEMISE COM BOTÕES E TORCIDO;19-4034;AZUL (Sailor Blue TCX) ;GG;7,8904E+12
;;;;;
REST0007;VESTIDO CURTO LAISE COM BABADO NA SAIA ;14-1220;ROSE (Grain TC);PP;7,8904E+12
;;;;;
REST0007;VESTIDO CURTO LAISE COM BABADO NA SAIA ;14-1220;ROSE (Grain TC);P;7,8904E+12
;;;;;
REST0007;VESTIDO CURTO LAISE COM BABADO NA SAIA ;14-1220;ROSE (Grain TC);M;7,8904E+12
;;;;;
REST0007;VESTIDO CURTO LAISE COM BABADO NA SAIA ;14-1220;ROSE (Grain TC);G;7,8904E+12
;;;;;
REST0007;VESTIDO CURTO LAISE COM BABADO NA SAIA ;18-4141;AZUL (Bluebell TC);PP;7,8904E+12
;;;;;
REST0007;VESTIDO CURTO LAISE COM BABADO NA SAIA ;18-4141;AZUL (Bluebell TC);P;7,8904E+12
;;;;;
REST0007;VESTIDO CURTO LAISE COM BABADO NA SAIA ;18-4141;AZUL (Bluebell TC);M;7,8904E+12
;;;;;
REST0007;VESTIDO CURTO LAISE COM BABADO NA SAIA ;18-4141;AZUL (Bluebell TC);G;7,8904E+12
;;;;;
REST0010;CAMISA DE LINHO ;18-0317;VERDE (Bronze Green TC);P;7,8904E+12
;;;;;
REST0010;CAMISA DE LINHO ;18-1762;VERMELHO (Hibiscus TC);P;7,8904E+12
;;;;;
REST0010;CAMISA DE LINHO ;18-0317;VERDE (Bronze Green TC);M;7,8904E+12
;;;;;
REST0010;CAMISA DE LINHO ;18-1762;VERMELHO (Hibiscus TC);M;7,8904E+12
;;;;;
REST0010;CAMISA DE LINHO ;18-0317;VERDE (Bronze Green TC);G;7,8904E+12
;;;;;
REST0010;CAMISA DE LINHO ;18-1762;VERMELHO (Hibiscus TC);G;7,8904E+12
;;;;;
REST0010;CAMISA DE LINHO ;18-0317;VERDE (Bronze Green TC);GG;7,8904E+12
;;;;;
REST0010;CAMISA DE LINHO ;18-1762;VERMELHO (Hibiscus TC);GG;7,8904E+12
;;;;;
REST0012;CAMISA CROPPED BORDADA;11-0601;BRANCO (Bright White TC);PP;7,8904E+12
;;;;;
REST0012;CAMISA CROPPED BORDADA;11-0601;BRANCO (Bright White TC);P;7,8904E+12
;;;;;
REST0012;CAMISA CROPPED BORDADA;11-0601;BRANCO (Bright White TC);M;7,8904E+12
;;;;;
REST0012;CAMISA CROPPED BORDADA;11-0601;BRANCO (Bright White TC);G;7,8904E+12
;;;;;
REST0013;CALÇA DE LINHO ;18-0317;VERDE (Bronze Green TC);P;7,8904E+12
;;;;;
REST0013;CALÇA DE LINHO ;18-1762;VERMELHO (Hibiscus TC);P;7,8904E+12
;;;;;
REST0013;CALÇA DE LINHO ;18-0317;VERDE (Bronze Green TC);M;7,8904E+12
;;;;;
REST0013;CALÇA DE LINHO ;18-1762;VERMELHO (Hibiscus TC);M;7,8904E+12
;;;;;
REST0013;CALÇA DE LINHO ;18-0317;VERDE (Bronze Green TC);G;7,8904E+12
;;;;;
REST0013;CALÇA DE LINHO ;18-1762;VERMELHO (Hibiscus TC);G;7,8904E+12
;;;;;
REST0013;CALÇA DE LINHO ;18-0317;VERDE (Bronze Green TC);GG;7,8904E+12
;;;;;
REST0013;CALÇA DE LINHO ;18-1762;VERMELHO (Hibiscus TC);GG;7,8904E+12
;;;;;
REST0014;CALÇA RETA COM BORDADO;19-3933;AZUL (Medieval Blue TC;PP;7,8904E+12
;;;;;
REST0014;CALÇA RETA COM BORDADO;19-3933;AZUL (Medieval Blue TC;P;7,8904E+12
;;;;;
REST0014;CALÇA RETA COM BORDADO;19-3933;AZUL (Medieval Blue TC;M;7,8904E+12
;;;;;
REST0014;CALÇA RETA COM BORDADO;19-3933;AZUL (Medieval Blue TC;G;7,8904E+12
;;;;;
REST0020;VESTIDO C/ NÓ FRONTAL;17-2034;ROSA (Pink Yarrow;PP;7,8904E+12
;;;;;
REST0020;VESTIDO C/ NÓ FRONTAL;17-2034;ROSA (Pink Yarrow;P;7,8904E+12
;;;;;
REST0020;VESTIDO C/ NÓ FRONTAL;17-2034;ROSA (Pink Yarrow;M;7,8904E+12
;;;;;
REST0020;VESTIDO C/ NÓ FRONTAL;17-2034;ROSA (Pink Yarrow;G;7,8904E+12
;;;;;
REST0021;SAIA MID DE LAISE ;17-3020;ROXO (Spring Crocus TC;PP;7,8904E+12
;;;;;
REST0021;SAIA MID DE LAISE ;17-3020;ROXO (Spring Crocus TC;P;7,8904E+12
;;;;;
REST0021;SAIA MID DE LAISE ;17-3020;ROXO (Spring Crocus TC;M;7,8904E+12
;;;;;
REST0021;SAIA MID DE LAISE ;17-3020;ROXO (Spring Crocus TC;G;7,8904E+12
;;;;;
REST0021;SAIA MID DE LAISE ;19-3955;AZUL (Royal Blue TC;PP;7,8904E+12
;;;;;
REST0021;SAIA MID DE LAISE ;19-3955;AZUL (Royal Blue TC;P;7,8904E+12
;;;;;
REST0021;SAIA MID DE LAISE ;19-3955;AZUL (Royal Blue TC;M;7,8904E+12
;;;;;
REST0021;SAIA MID DE LAISE ;19-3955;AZUL (Royal Blue TC;G;7,8904E+12
;;;;;
REST0025;CAMISA C/ TÚNEL LATERAL;14-1213;NUDE (Toasted Almond TC);PP;7,8904E+12
;;;;;
REST0025;CAMISA C/ TÚNEL LATERAL;14-1213;NUDE (Toasted Almond TC);P;7,8904E+12
;;;;;
REST0025;CAMISA C/ TÚNEL LATERAL;14-1213;NUDE (Toasted Almond TC);M;7,8904E+12
;;;;;
REST0025;CAMISA C/ TÚNEL LATERAL;14-1213;NUDE (Toasted Almond TC);G;7,8904E+12
;;;;;
REST0025;CAMISA C/ TÚNEL LATERAL;14-1213;NUDE (Toasted Almond TC);GG;7,8904E+12
;;;;;
REST0025;CAMISA C/ TÚNEL LATERAL;16-2124;ROSA (Pink Carnation TC;PP;7,8904E+12
;;;;;
REST0025;CAMISA C/ TÚNEL LATERAL;16-2124;ROSA (Pink Carnation TC;P;7,8904E+12
;;;;;
REST0025;CAMISA C/ TÚNEL LATERAL;16-2124;ROSA (Pink Carnation TC;M;7,8904E+12
;;;;;
REST0025;CAMISA C/ TÚNEL LATERAL;16-2124;ROSA (Pink Carnation TC;G;7,8904E+12
;;;;;
REST0025;CAMISA C/ TÚNEL LATERAL;16-2124;ROSA (Pink Carnation TC;GG;7,8904E+12
;;;;;
REST0026;CALÇA C/ PREGAS FT;14-1213;NUDE (Toasted Almond TC);PP;7,8904E+12
;;;;;
REST0026;CALÇA C/ PREGAS FT;14-1213;NUDE (Toasted Almond TC);P;7,8904E+12
;;;;;
REST0026;CALÇA C/ PREGAS FT;14-1213;NUDE (Toasted Almond TC);M;7,8904E+12
;;;;;
REST0026;CALÇA C/ PREGAS FT;14-1213;NUDE (Toasted Almond TC);G;7,8904E+12
;;;;;
REST0026;CALÇA C/ PREGAS FT;14-1213;NUDE (Toasted Almond TC);GG;7,8904E+12
;;;;;
REST0026;CALÇA C/ PREGAS FT;16-2124;ROSA (Pink Carnation TC;PP;7,8904E+12
;;;;;
REST0026;CALÇA C/ PREGAS FT;16-2124;ROSA (Pink Carnation TC;P;7,8904E+12
;;;;;
REST0026;CALÇA C/ PREGAS FT;16-2124;ROSA (Pink Carnation TC;M;7,8904E+12
;;;;;
REST0026;CALÇA C/ PREGAS FT;16-2124;ROSA (Pink Carnation TC;G;7,8904E+12
;;;;;
REST0026;CALÇA C/ PREGAS FT;16-2124;ROSA (Pink Carnation TC;GG;7,8904E+12
;;;;;
REST0027;BLUSA COM PREGAS NA MANGA;17-3020;ROXO (Spring Crocus TC;PP;7,8904E+12
;;;;;
REST0027;BLUSA COM PREGAS NA MANGA;17-3020;ROXO (Spring Crocus TC;P;7,8904E+12
;;;;;
REST0027;BLUSA COM PREGAS NA MANGA;17-3020;ROXO (Spring Crocus TC;M;7,8904E+12
;;;;;
REST0027;BLUSA COM PREGAS NA MANGA;17-3020;ROXO (Spring Crocus TC;G;7,8904E+12
;;;;;
REST0027;BLUSA COM PREGAS NA MANGA;19-3955;AZUL (Royal Blue TC;PP;7,8904E+12
;;;;;
REST0027;BLUSA COM PREGAS NA MANGA;19-3955;AZUL (Royal Blue TC;P;7,8904E+12
;;;;;
REST0027;BLUSA COM PREGAS NA MANGA;19-3955;AZUL (Royal Blue TC;M;7,8904E+12
;;;;;
REST0027;BLUSA COM PREGAS NA MANGA;19-3955;AZUL (Royal Blue TC;G;7,8904E+12
;;;;;
REST0029;VESTIDO MIDI COM MANGA CURTA;18-4440;AZUL (Cloisonne TC);PP;7,8904E+12
;;;;;
REST0029;VESTIDO MIDI COM MANGA CURTA;18-4440;AZUL (Cloisonne TC);P;7,8904E+12
;;;;;
REST0029;VESTIDO MIDI COM MANGA CURTA;18-4440;AZUL (Cloisonne TC);M;7,8904E+12
;;;;;
REST0029;VESTIDO MIDI COM MANGA CURTA;18-4440;AZUL (Cloisonne TC);G;7,8904E+12
;;;;;
REST0029;VESTIDO MIDI COM MANGA CURTA;18-4440;AZUL (Cloisonne TC);GG;7,8904E+12
;;;;;
REST0030;CALÇA DE LINHO ESTAMPADA;12-0812;BEGE (Alabaster TC);P;7,8904E+12
;;;;;
REST0030;CALÇA DE LINHO ESTAMPADA;12-0812;BEGE (Alabaster TC);M;7,8904E+12
;;;;;
REST0030;CALÇA DE LINHO ESTAMPADA;12-0812;BEGE (Alabaster TC);G;7,8904E+12
;;;;;
REST0030;CALÇA DE LINHO ESTAMPADA;12-0812;BEGE (Alabaster TC);GG;7,8904E+12
;;;;;
REST0034;CAMISA RISCA DE GIZ;14-1036;BEGE (Ochre TC);P;7,8904E+12
;;;;;
REST0034;CAMISA RISCA DE GIZ;14-1036;BEGE (Ochre TC);M;7,8904E+12
;;;;;
REST0034;CAMISA RISCA DE GIZ;14-1036;BEGE (Ochre TC);G;7,8904E+12
;;;;;
REST0034;CAMISA RISCA DE GIZ;14-1036;BEGE (Ochre TC);GG;7,8904E+12
;;;;;
REST0034;CAMISA RISCA DE GIZ;19-4034;AZUL (Sailor Blue TCX) ;P;7,8904E+12
;;;;;
REST0034;CAMISA RISCA DE GIZ;19-4034;AZUL (Sailor Blue TCX) ;M;7,8904E+12
;;;;;
REST0034;CAMISA RISCA DE GIZ;19-4034;AZUL (Sailor Blue TCX) ;G;7,8904E+12
;;;;;
REST0034;CAMISA RISCA DE GIZ;19-4034;AZUL (Sailor Blue TCX) ;GG;7,8904E+12
;;;;;
REST0035;CAMISA COM PREGAS ;11-0601;BRANCO (Bright White TC);P;7,8904E+12
;;;;;
REST0035;CAMISA COM PREGAS ;11-0601;BRANCO (Bright White TC);M;7,8904E+12
;;;;;
REST0035;CAMISA COM PREGAS ;11-0601;BRANCO (Bright White TC);G;7,8904E+12
;;;;;
