Nome do item,Origem / mídia da sessão,Sessões,Itens vistos,Itens adicionados ao carrinho,Itens comprados,Receita do item
VESTIDO BÁSICO - CAV261608 (AMARELO (Sunshine TC) (12-0727), G),bing / organic,4,0,0,0,0
VESTIDO CLASIC - CV261405,google / cpc,4,0,0,0,0
VESTIDO CLASIC - CV261405 (Vermelho de alto risco (High Risk Red TC) (18-1763), G),google / cpc,4,4,0,0,0
VESTIDO CLÁSSIC - CSI262065 (PRETO (Raven TC) (19-0000), G),(data not available),4,0,0,0,0
VESTIDO CLÁSSIC - CSI262065 (PRETO (Raven TC) (19-0000), G),(not set),4,0,0,0,0
VESTIDO CLÁSSIC - CSI262065 (PRETO (Raven TC) (19-0000), G),bing / organic,4,0,0,0,0
VESTIDO CLÁSSIC - CSI262065 (PRETO (Raven TC) (19-0000), G),carlotacostab2c.lojavirtualnuvem.com.br / referral,4,0,0,0,0
VESTIDO CLÁSSIC - CSI262065 (PRETO (Raven TC) (19-0000), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,4,0,0,0,0
VESTIDO CLÁSSIC - CSI262065 (PRETO (Raven TC) (19-0000), G),m.facebook.com / referral,4,0,0,0,0
VESTIDO COM ABERTURA COSTAS - CAV261649,INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO COM ABERTURA COSTAS - CAV261649,facebook / cpc01_adv,4,0,0,0,0
VESTIDO COM ABERTURA COSTAS - CAV261649 (BEGE (Jet Stream) (11-0605), G),facebook / cpc02_aberto_top/estados_all,4,2,0,0,0
VESTIDO COM AVIAMENTO - CAV261607,facebook / cpc03_interesses_top/estados_all,4,0,0,0,0
VESTIDO COM BABADOS - CI262083 (CI26R016 LIMONAIA V1 - NEO DS SAT (CC0156-E), G),facebook / cpc01_adv,4,0,0,0,0
VESTIDO COM BUSTO PONTEIRAS - CV250422 (Branco de Neve (off white) (11-0602), G),google / cpc,4,1,0,0,0
VESTIDO COM CINTO - CSI261819 (VERMELHO  (Fiery Red TC) (18-1664), G),bing / organic,4,0,0,0,0
VESTIDO COM CINTO - CSI261819 (VERMELHO  (Fiery Red TC) (18-1664), G),carlotacostab2c.lojavirtualnuvem.com.br / referral,4,0,0,0,0
VESTIDO COM CINTO - CV261494,edrone / email,4,0,0,0,0
VESTIDO COM CINTO - CV261494 (AMARELO (Canary Yellow TC) (12-0633), G),bing / organic,4,1,0,0,0
VESTIDO COM CINTO - CV261494 (AMARELO (Canary Yellow TC) (12-0633), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,4,1,0,0,0
VESTIDO COM CINTO - CV261494 (AMARELO (Canary Yellow TC) (12-0633), G),facebook / cpc02_aberto_top/estados_all,4,2,0,0,0
VESTIDO COM DETALHE EM PEDRAS - CAV261668 (MARROM (Bronze Brown TC) (18-0937), G),facebook / cpc1_advantage+sugestões_all,4,0,0,0,0
VESTIDO COM LAÇO - CAI251247,INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO COM LAÇO - CAI251247 (PRETO (Raven TC) (19-0000), G),INSTAGRAM / LINKTREE,4,5,0,0,0
VESTIDO COM LAÇO - CAI251247 (PRETO (Raven TC) (19-0000), G),facebook / cpc01_adv,4,4,0,0,0
VESTIDO COM LAÇO - CAV261688 (BEGE (Smoke Gray TC) (14-1209), M),(direct) / (none),4,0,2,0,0
VESTIDO COM PREGAS - CSI261594,edrone / email,4,0,0,0,0
VESTIDO COM PREGAS - CSI261594 (LARANJA  (Tangerine Tango) (17-1463), G),(not set),4,0,0,0,0
VESTIDO COM PREGAS - CSI261594 (LARANJA  (Tangerine Tango) (17-1463), G),carlotacostab2c.lojavirtualnuvem.com.br / referral,4,0,0,0,0
VESTIDO COM PREGAS - CSI261594 (LARANJA  (Tangerine Tango) (17-1463), G),ig / social,4,0,0,0,0
VESTIDO COM PREGAS - CSI261594 (LARANJA  (Tangerine Tango) (17-1463), G),m.facebook.com / referral,4,0,0,0,0
VESTIDO COURO COM DETALHES DE RENDA - CI261923,facebook / cpc02_aberto_top/estados_all,4,0,0,0,0
VESTIDO COURO COM DETALHES DE RENDA - CI261923 (BEGE (Curds Whey) (16-0920), G),facebook / {{adset.name}},4,0,0,0,0
VESTIDO COURO COM DETALHES DE RENDA - CI261923 (BEGE (Curds Whey) (16-0920), G),mail.google.com / referral,4,0,0,0,0
VESTIDO CURTO - CSI250631,INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO CURTO - CSI250631,facebook / cpc01_adv,4,0,0,0,0
VESTIDO CURTO - CSI250631 (VERDE (Sea Spray TC, PP),google / cpc,4,0,3,0,0
VESTIDO CURTO ACETINADO - CV261282 (AMARELO (Canary Yellow TC) (12-0633), G),facebook / cpc02_aberto_top/estados_all,4,1,0,0,0
VESTIDO CURTO ASSIMÉTRICO - CAV261651,(direct) / (none),4,0,0,0,0
VESTIDO CURTO ASSIMÉTRICO - CAV261651,google / cpc,4,0,0,0,0
VESTIDO CURTO ASSIMÉTRICO - CAV261651 (BEGE (Jet Stream) (11-0605), G),edrone / email,4,2,0,0,0
VESTIDO CURTO ASSIMÉTRICO - CAV261651 (BEGE (Jet Stream) (11-0605), G),facebook / cpc03_interesses_top/estados_all,4,3,0,0,0
VESTIDO CURTO BABADOS - CV261416,INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO CURTO BABADOS - CV261416,edrone / email,4,0,0,0,0
VESTIDO CURTO BABADOS - CV261416 (Pink Carnation TC (16-2124), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,4,3,0,0,0
VESTIDO CURTO BABADOS - CV261416 (Pink Carnation TC (16-2124), G),facebook / cpc02_aberto_top/estados_all,4,4,0,0,0
VESTIDO CURTO COM AMARRAÇÃO - CI261898 (CI26R010 SNAKE V7 ALT1 - NEO DS STD (CC0147-E), G),facebook / {{adset.name}},4,0,0,0,0
VESTIDO CURTO COM AMARRAÇÃO - CI261898 (CI26R010 SNAKE V7 ALT1 - NEO DS STD (CC0147-E), G),mail.google.com / referral,4,0,0,0,0
VESTIDO CURTO COM AMARRAÇÃO - CI261898 (CI26R010 SNAKE V7 ALT1 - NEO DS STD (CC0147-E), M),facebook / cpc01_adv,4,0,2,0,0
VESTIDO CURTO COM BOTÕES - CI262048 (VERMELHO (Goji Berry (18-1659), G),bing / organic,4,0,0,0,0
VESTIDO CURTO COM BOTÕES - CI262048 (VERMELHO (Goji Berry (18-1659), G),ig / social,4,0,0,0,0
VESTIDO CURTO COM FIVELA - CSI250806,(direct) / (none),4,0,0,0,0
VESTIDO CURTO COM FIVELA - CSI250806 (BEGE (ICED COFFEE) (15-1040), G),google / organic,4,3,0,0,0
VESTIDO CURTO COM MANGA LONGA - CI250924 (AZUL (Grapemist TC) (16-3929), G),INSTAGRAM / LINKTREE,4,5,0,0,0
VESTIDO CURTO COM MANGAS LONGAS - CAV250479,google / cpc,4,0,0,0,0
VESTIDO CURTO COM MANGAS LONGAS - CAV250479 (MARROM (Travertine) (15-1114), G),INSTAGRAM / LINKTREE,4,3,0,0,0
VESTIDO CURTO COM PIRCING - CSI250828 (Vermelho de alto risco (High Risk Red TC) (18-1763), G),(direct) / (none),4,8,0,0,0
VESTIDO CURTO JUSTO MANGA LONGA - CI251021,INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO CURTO JUSTO MANGA LONGA - CI251021,google / organic,4,0,0,0,0
VESTIDO CURTO JUSTO MANGA LONGA - CI251021 (Potent Purple TC (19-2520), P),facebook / cpc01_adv,4,0,4,0,0
VESTIDO CURTO JUSTO MANGA LONGA - CI251021 (Preto (Raven TC) (19-0000), G),facebook / cpc02_aberto_top/estados_all,4,1,0,0,0
VESTIDO CURTO MANGA BUFANTE - CI250947,edrone / email,4,0,0,0,0
VESTIDO CURTO MANGA BUFANTE - CI250947 (BEGE(Sandshell TC) (13-0907), G),IGShopping / Social,4,0,0,0,0
VESTIDO CURTO MANGA LONGA EVASÊ - CV261482 (Branco de Neve (off white) (11-0602), G),INSTAGRAM / LINKTREE,4,1,0,0,0
VESTIDO CURTO MANGA LONGA EVASÊ - CV261482 (Branco de Neve (off white) (11-0602), G),facebook / cpc02_aberto_top/estados_all,4,0,0,0,0
VESTIDO CURTO MANGA LONGA EVASÊ - CV261482 (Branco de Neve (off white) (11-0602), G),facebook / cpc03_interesses_top/estados_all,4,6,0,0,0
VESTIDO CURTO MANGA LONGA RETILÍNEA - CRI250044 (NUDE (Toasted Almond TC) (14-1213), G),l.facebook.com / referral,4,0,0,0,0
VESTIDO CURTO MANGA LONGA RETILÍNEA - CRI250044 (Preto (Raven TC) (19-0000), P),(direct) / (none),4,0,3,1,169.320002
VESTIDO CURTO ML - CAI251180,facebook / cpc03_interesses_top/estados_all,4,0,0,0,0
VESTIDO CURTO ML - CAI251180 (AZUL (Strong Blue TC (18-4051), G),facebook / cpc01_adv,4,3,0,0,0
VESTIDO CURTO ML - CAI251180 (AZUL (Strong Blue TC (18-4051), G),facebook / cpc03_interesses_top/estados_all,4,4,0,0,0
VESTIDO CURTO ML LISO - CI261820 (VERDE (Dark Ivy TC) (17-5912), G),google / cpc,4,2,0,0,0
VESTIDO CURTO RETO - CI261945 (BEGE (Jet Stream) (11-0605), G),facebook / {{adset.name}},4,1,0,0,0
VESTIDO CURTO RETO - CI261945 (BEGE (Jet Stream) (11-0605), G),mail.google.com / referral,4,0,0,0,0
VESTIDO CURTO SEM MANGA LISO - CV261527 (VERDE ÁGUA (Dusty Aqua Green TC) (12-5506), G),IGShopping / Social,4,0,0,0,0
VESTIDO CURTO SEM MANGA LISO - CV261527 (VERDE ÁGUA (Dusty Aqua Green TC) (12-5506), G),ig / social,4,1,0,0,0
VESTIDO CUT OUT - CI261914 (PRETO (Raven TC) (19-0000), G),(direct) / (none),4,0,0,0,0
VESTIDO CUT OUT - CI261914 (PRETO (Raven TC) (19-0000), G),facebook / cpc01_adv,4,0,0,0,0
VESTIDO DE MALHA - CI250859,google / cpc,4,0,0,0,0
VESTIDO DE MALHA - CI250859 (BEGE (Chanterelle TC) (16-1414), G),facebook / cpc01_adv,4,0,0,0,0
VESTIDO DETALHE OMBRO - CSI250673 (Preto (Raven TC) (19-0000), G),carlotacostab2c.lojavirtualnuvem.com.br / referral,4,1,0,0,0
VESTIDO DETALHE OMBRO - CSI250673 (Preto (Raven TC) (19-0000), M),edrone / email,4,0,3,0,0
VESTIDO DETALHE OMBRO - CSI250673 (Preto (Raven TC) (19-0000), M),facebook / cpc01_adv,4,0,2,0,0
VESTIDO DRAPEADO - CI261889,(direct) / (none),4,0,0,0,0
VESTIDO DRAPEADO - CI261889,google / cpc,4,0,0,0,0
VESTIDO ESTRUTURADO - CAV261631,edrone / email,4,0,0,0,0
VESTIDO ESTRUTURADO - CAV261631 (AMARELO (Old Gold TC) (15-0955), G),(data not available),4,0,0,0,0
VESTIDO ESTRUTURADO - CV261441,google / organic,4,0,0,0,0
VESTIDO ESTRUTURADO - CV261441 (Vermelho de alto risco (High Risk Red TC) (18-1763), G),facebook / cpc1_advantage+sugestões_all,4,6,0,0,0
VESTIDO FLOR - CV261506,edrone / email,4,0,0,0,0
VESTIDO FLOR - CV261506 (VERMELHO (Formula One TC) (19-1763), P),google / cpc,4,0,2,0,0
VESTIDO FLORES 3D - CAV261555 (BRANCO (off white) (11-0602), G),google / cpc,4,2,0,0,0
VESTIDO FLUIDO - CI261838,(direct) / (none),4,0,0,0,0
VESTIDO FLUIDO - CI261838 (BEGE (Ivory Cream TC) (13-1011), G),IGShopping / Social,4,0,0,0,0
VESTIDO FLUIDO - CI261838 (BEGE (Ivory Cream TC) (13-1011), G),bing / organic,4,0,0,0,0
VESTIDO FLUIDO - CI261838 (BEGE (Ivory Cream TC) (13-1011), G),ig / social,4,1,0,0,0
VESTIDO FLUIDO - CI261838 (BORDO (Cabernet) (19-1724), P),(direct) / (none),4,0,2,0,0
VESTIDO FLÚIDO BABADOS - CAV261603,google / cpc,4,0,0,0,0
VESTIDO FLÚIDO BABADOS - CAV261603 (AMARELO (Dandelion TC) (13-0758), G),facebook / cpc1_advantage+sugestões_all,4,0,0,0,0
VESTIDO FRANZIDOS - CAV261614,(direct) / (none),4,0,0,0,0
VESTIDO FRANZIDOS - CAV261614,facebook / cpc01_adv,4,0,0,0,0
VESTIDO FRANZIDOS - CAV261614 (AMARELO (Daffodil TC) (14-0850), G),(data not available),4,0,0,0,0
VESTIDO FRENTE ÚNICA BALONÊ - CAV250518,INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO GOLA BOBA - CI261892 (PRETO (Raven TC) (19-0000), G),(direct) / (none),4,2,0,0,0
VESTIDO JUSTO COM MANGAS LONGAS - CI250874 (BEGE (Tan TC) (16-1334), G),facebook / cpc01_adv,4,0,0,0,0
VESTIDO LAISE - CAV261589 (BRANCO (off white) (11-0602), G),(direct) / (none),4,3,0,0,0
VESTIDO LAISE - CAV261589 (BRANCO (off white) (11-0602), G),edrone / email,4,0,0,0,0
VESTIDO LINHO BABADO - CAV261671 (BEGE (Taos Taupe TC) (15-1119), G),edrone / email,4,1,0,0,0
VESTIDO LISTRAS - CV261470,facebook / cpc03_interesses_top/estados_all,4,0,0,0,0
VESTIDO LISTRAS - CV261470 (CHÁ VERDE (Green Tea TC) (15-6428), G),facebook / cpc03_interesses_top/estados_all,4,7,0,0,0
VESTIDO LISTRAS ASSIMÉTRICO - CAV261767 (ROSE (Brandied Melon TC) (16-1340), G),google / organic,4,2,0,0,0
VESTIDO LONGO - CI250998,google / organic,4,0,0,0,0
VESTIDO LONGO - CI250998 (AZUL (Bijou Blue TC), G),edrone / email,4,2,1,0,0
VESTIDO LONGO - CV261434 (Pink Carnation TC (16-2124), G),(not set),4,4,0,0,0
VESTIDO LONGO - CV261434 (Pink Carnation TC (16-2124), G),facebook / cpc1_advantage+sugestões_all,4,5,1,0,0
VESTIDO LONGO COM BABADOS - CV261757,INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO LONGO COM DETALHE EM PREGAS - CSI261801 (BEGE (Antique White TC) (11-0105), G),(direct) / (none),4,1,0,0,0
VESTIDO LONGO FLUÍDO - CAV261670,facebook / cpc01_adv,4,0,0,0,0
VESTIDO LONGO FLUÍDO - CAV261670 (VERMELHO  (Fiery Red TC) (18-1664), G),facebook / cpc01_adv,4,5,0,0,0
VESTIDO LONGO OMBRO A OMBOR - CI261854 (PRETO (Raven TC) (19-0000), G),(data not available),4,0,0,0,0
VESTIDO MALHA COM PONTA - CAV261678,google / organic,4,0,0,0,0
VESTIDO MALHA COM PONTA - CAV261678 (BRANCO (off white) (11-0602), G),facebook / cpc01_adv aberto_best_sellers profundidade,4,2,0,0,0
VESTIDO MALHA COM PONTA - CAV261678 (BRANCO (off white) (11-0602), G),facebook / cpc1_advantage+sugestões_all,4,0,0,0,0
VESTIDO MALHA CURTO - CV261436,INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO MALHA CURTO - CV261436,google / cpc,4,0,0,0,0
VESTIDO MALHA LONGO - CV261275,(direct) / (none),4,0,0,0,0
VESTIDO MALHA LONGO - CV261275 (BEGE (Chanterelle TC) (16-1414), G),facebook / cpc03_interesses_top/estados_all,4,3,0,0,0
VESTIDO MALHA LONGO - CV261275 (BEGE (Chanterelle TC) (16-1414), G),google / organic,4,0,0,0,0
VESTIDO MALHA LONGO - CV261275 (BEGE (Chanterelle TC) (16-1414), M),google / cpc,4,0,4,0,0
VESTIDO MANGA LONGA CURTO - CI262059,google / cpc,4,0,0,0,0
VESTIDO MANGA LONGA CURTO - CI262059 (MARROM (Meerkat (16-1438), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,4,0,0,0,0
VESTIDO MIDI COM CINTO - CSI250671,google / cpc,4,0,0,0,0
VESTIDO MIDI COM CINTO - CSI261767 (MARROM (TCX Sinopia Fresco (17-1317), G),(direct) / (none),4,1,0,0,0
VESTIDO MIDI COM CINTO - CSV261201,(direct) / (none),4,0,0,0,0
VESTIDO MIDI COM CINTO - CSV261201 (Grapemist TC (16-3929), G),edrone / email,4,4,0,0,0
VESTIDO MIDI COM DET RENDA - CV261418,(direct) / (none),4,0,0,0,0
VESTIDO MIDI COM DET RENDA - CV261418 (BRANCO (Bright White TC) (11-0601), G),google / organic,4,0,0,0,0
VESTIDO MIDI COM DET RENDA - CV261418 (Vermillon Orange TC (16-1362), G),google / cpc,4,0,3,0,0
VESTIDO MIDI COM DETALHE METAL - CV261349,google / organic,4,0,0,0,0
VESTIDO MIDI COM FENDA - CI262057,INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO MIDI COM FENDA - CI262057 (MARROM (TCX Sinopia Fresco (17-1317), G),IGShopping / Social,4,0,0,0,0
VESTIDO MIDI COM FRANZIDOS - CI250834,facebook / cpc01_adv,4,0,0,0,0
VESTIDO MIDI COM FRANZIDOS - CI250834 (CI25BR002 CERCADO FLORIDO (CC0090-E), G),facebook / cpc01_adv,4,4,0,0,0
VESTIDO MIDI COM RECORTES - CSI261645,google / cpc,4,0,0,0,0
VESTIDO MIDI CORDA - CAV261549 (BRANCO (off white) (11-0602), G),edrone / email,4,1,0,0,0
VESTIDO MIDI DE ALÇA - CV261533 (BEGE (Taos Taupe TC) (15-1119), G),(direct) / (none),4,1,0,0,0
VESTIDO MIDI FLUIDO - CV261417,INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO MIDI FLUIDO - CV261417 (Pink Carnation TC (16-2124), G),facebook / cpc01_adv,4,6,0,0,0
VESTIDO MIDI FLUIDO - CV261417 (Pink Carnation TC (16-2124), G),google / organic,4,4,0,0,0
VESTIDO MIDI JUSTO COM PIRCING - CSI250735 (VERDE (Greenery TC) (15-0343), G),(direct) / (none),4,4,0,0,0
VESTIDO MIDI JUSTO COM RECORTES - CI250932 (BEGE (Curds Whey) (16-0920), G),INSTAGRAM / LINKTREE,4,4,0,0,0
VESTIDO MIDI JUSTO MANGA LONGA - CI250839 (AZUL (Dark Slate TC) (19-4220), PP),google / organic,4,0,1,1,120.73
VESTIDO MIDI JUSTO SEM ALÇAS - CI250937 (Lilas TC (16-1708), G),google / organic,4,4,0,0,0
VESTIDO MIDI LISO - CSI250595 (ROSA (Dusty Cedar TC) (18-1630), G),google / cpc,4,3,0,0,0
VESTIDO MIDI LISO - CV261431,facebook / cpc01_adv,4,0,0,0,0
VESTIDO MIDI LISO - CV261431 (Preto (Raven TC) (19-0000), G),google / cpc,4,0,4,0,0
VESTIDO MIDI LISO COM CINTO - CSI261629 (BEGE (Antique White TC) (11-0105), G),facebook / cpc02_aberto_top/estados_all,4,0,0,0,0
VESTIDO MIDI OMBRO A OMBRO - CI250907 (BEGE (Chanterelle TC) (16-1414), G),IGShopping / Social,4,1,0,0,0
VESTIDO MIDI REGATA - CAV261771 (BEGE (Smoke Gray TC) (14-1209), G),(data not available),4,0,0,0,0
VESTIDO MIDI REGATA - CAV261771 (BEGE (Smoke Gray TC) (14-1209), G),carlotacostab2c.lojavirtualnuvem.com.br / referral,4,2,0,0,0
VESTIDO MIDI REGATA LISO - CSV261247 (Turf Green TC (17-0119), G),google / cpc,4,0,4,0,0
VESTIDO MIDI TOMARA-QUE-CAIA - CV261483 (Branco de Neve (off white) (11-0602), G),facebook / cpc03_interesses_top/estados_all,4,4,0,0,0
VESTIDO PARKA - CI250873 (BEGE (Gray Sand TC) (13-1010), G),nuvem-app / referral,4,2,0,0,0
VESTIDO PEDRAS - CV261512,facebook / cpc01_adv,4,0,0,0,0
VESTIDO PEDRAS - CV261512 (Old Gold TC (15-0955), G),facebook / cpc01_adv,4,4,0,0,0
VESTIDO PEDRAS - CV261512 (Old Gold TC (15-0955), G),google / cpc,4,4,0,0,0
VESTIDO RECORTES COM CINTO - CI261869,carlotacostab2c.lojavirtualnuvem.com.br / referral,4,0,0,0,0
VESTIDO RECORTES COM CINTO - CI261869,facebook / cpc01_adv,4,0,0,0,0
VESTIDO RECORTES COM CINTO - CI261869 (MARROM (Rawhide TC (18-1137), G),facebook / {{adset.name}},4,0,0,0,0
VESTIDO RECORTES COM CINTO - CI261869 (MARROM (Rawhide TC (18-1137), G),mail.google.com / referral,4,0,0,0,0
VESTIDO RETO COM GOLA - CSI250653,facebook / cpc01_adv+aberto_best_sellers+profundidade,4,0,0,0,0
VESTIDO RETO COM GOLA - CSI250653 (PRETO (Raven TC), G),(data not available),4,4,0,0,0
VESTIDO RETO COM GOLA - CSI250653 (PRETO (Raven TC), GG),(direct) / (none),4,0,4,0,0
VESTIDO TOMARA QUE CAIA (CI261858.1) - CI261825 (VERMELHO (High Risk Red TC) (18-1763), G),facebook / {{adset.name}},4,0,0,0,0
VESTIDO TOMARA QUE CAIA (CI261858.1) - CI261825 (VERMELHO (High Risk Red TC) (18-1763), G),mail.google.com / referral,4,0,0,0,0
VESTIDO TOMARA QUE CAIA BALONÊ - CI262069,(direct) / (none),4,0,0,0,0
VESTIDO TOMARA QUE CAIA BALONÊ - CI262069,facebook / cpc01_adv,4,0,0,0,0
VESTIDO TOMARA QUE CAIA BALONÊ - CI262069,google / cpc,4,0,0,0,0
VESTIDO TOMARA QUE CAIA COM SOBRESPOSIÇÃO - CSV261708,(direct) / (none),4,0,0,0,0
VESTIDO TOMARA QUE CAIA COM SOBRESPOSIÇÃO - CSV261708 (BEGE (Tan TC) (16-1334), G),facebook / cpc03_interesses_top/estados_all,4,4,0,0,0
VESTIDO TORCIDO - CAV261684 (MARROM (Chicarry Coffe (19-1419), G),(direct) / (none),4,0,0,0,0
VESTIDO TORCIDO - CAV261684 (MARROM (Chicarry Coffe (19-1419), G),INSTAGRAM / LINKTREE,4,0,0,0,0
VESTIDO TORCIDO - CAV261684 (MARROM (Chicarry Coffe (19-1419), G),facebook / cpc01_adv,4,0,0,0,0
VESTIDO TRANSPASSADO - CSI261600 (PRETO (Raven TC) (19-0000), G),(not set),4,0,0,0,0
VESTIDO TRANSPASSADO - CSI261600 (PRETO (Raven TC) (19-0000), G),carlotacostab2c.lojavirtualnuvem.com.br / referral,4,0,0,0,0
VESTIDO TRANSPASSADO - CSI261600 (PRETO (Raven TC) (19-0000), G),ig / social,4,0,0,0,0
VESTIDO TRANSPASSADO - CSI261600 (PRETO (Raven TC) (19-0000), G),m.facebook.com / referral,4,0,0,0,0
VESTIDO TRICOLINE - CSV261292 (AMARELO (Daffodil TC) (14-0850), G),m.facebook.com / referral,4,1,0,0,0
VESTIDO TRICOLINE - CSV261292 (Sequoia TC (19-1333), G),(direct) / (none),4,0,5,2,346.579997
VESTIDO TUBO - CI250782,(direct) / (none),4,0,0,0,0
VESTIDO TUBO - CI250782 (PRETO (Raven TC) (19-0000), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,4,0,0,0,0
VESTIDO TUBO - CI250782 (ROXO (Potent Purple TC (19-2520), M),(direct) / (none),4,0,2,0,0
BATA COM AMARRAÇÃO - CV261419,(direct) / (none),3,0,0,0,0
BATA COM AMARRAÇÃO - CV261419,facebook / cpc02_aberto_top/estados_all,3,0,0,0,0
BATA MANGA 3/4 COM BORDADO - CSV261246 (Marshmallow TC (11-4300), M),google / cpc,3,0,3,0,0
BERMUDA BASIC - CSV261048 (MARROM (Bran TC) (17-1336), G),(direct) / (none),3,1,0,0,0
BERMUDA BASIC - CSV261048 (MARROM (Bran TC) (17-1336), G),google / organic,3,0,0,0,0
BERMUDA BASIC - CSV261048 (MARROM (Bran TC) (17-1336), M),google / cpc,3,0,4,0,0
BERMUDA COM BOLSOS - CSI250660,google / cpc,3,0,0,0,0
BERMUDA LISA COM BOLSOS - CSV261198.2 (Marshmallow TC (11-4300), G),INSTAGRAM / LINKTREE,3,3,0,0,0
BERMUDA LISA COM BOLSOS - CSV261198.2 (Marshmallow TC (11-4300), G),edrone / email,3,0,0,0,0
BERMUDA LISA COM BOLSOS - CSV261198.2 (Marshmallow TC (11-4300), G),google / organic,3,2,0,0,0
BLAZER ALFAIATARIA COM BOTÕES - CSI261597 (CINZA (Charcoal Gray TC) (18-0601), G),bing / organic,3,0,0,0,0
BLAZER ALONGADO COM BOLSOS - CV261521.1 (BEGE AREIA (Warm Sand TC) (15-1214), G),br.search.yahoo.com / referral,3,0,0,0,0
BLAZER ALONGADO COM BOLSOS - CV261521.1 (BEGE AREIA (Warm Sand TC) (15-1214), G),facebook / cpc01_adv aberto_best_sellers profundidade,3,0,0,0,0
BLAZER ALONGADO COM BOTÕES - CI250844,(direct) / (none),3,0,0,0,0
BLAZER ALONGADO COM BOTÕES - CI250844 (VERMELHO (truscan Red TC) (18-1434), G),br.search.yahoo.com / referral,3,0,0,0,0
BLAZER ALONGADO COM BOTÕES - CI250844 (VERMELHO (truscan Red TC) (18-1434), G),facebook / cpc02_aberto_top/estados_all,3,1,0,0,0
BLAZER ALONGADO COM BOTÕES - CI250844 (VERMELHO (truscan Red TC) (18-1434), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,3,2,0,0,0
BLAZER BOXER COM BOTÕES - CI250950 (LILAS (Prism Pink TC) (14-2311), G),br.search.yahoo.com / referral,3,0,0,0,0
BLAZER BOXER COM BOTÕES - CI250950 (LILAS (Prism Pink TC) (14-2311), G),facebook / cpc02_aberto_top/estados_all,3,0,0,0,0
BLAZER BOXI COM AMARRAÇÃO - CAV250507,facebook / cpc03_interesses_top/estados_all,3,0,0,0,0
BLAZER BOXI COM AMARRAÇÃO - CAV250507 (BRANCO (off white) (11-0602), G),bing / organic,3,0,0,0,0
BLAZER BOXI COM AMARRAÇÃO - CAV250507 (BRANCO (off white) (11-0602), G),br.search.yahoo.com / referral,3,0,0,0,0
BLAZER BOXI COM AMARRAÇÃO - CAV250507 (BRANCO (off white) (11-0602), G),facebook / cpc02_aberto_top/estados_all,3,0,0,0,0
BLAZER COM LAPELA - CI250913 (BEGE(Sandshell TC) (13-0907), G),(data not available),3,0,0,0,0
BLAZER COM LAPELA - CI250913 (BEGE(Sandshell TC) (13-0907), G),br.search.yahoo.com / referral,3,0,0,0,0
BLAZER COM LAPELA - CI250913 (BEGE(Sandshell TC) (13-0907), G),facebook / cpc01_adv aberto_best_sellers profundidade,3,1,0,0,0
BLAZER COM LAPELA - CI250913 (LILAS (Pink Mist TC) (13-2805), G),facebook / cpc01_adv,3,0,3,0,0
BLAZER COM VIVOS - CAI251203 (BEGE (Novelle Peach TC) (12-1005), G),facebook / cpc01_adv,3,4,0,0,0
BLAZER CURTO - CI250789 (VERDE (Ageve Green TCX) (18-5806), G),(data not available),3,1,0,0,0
BLAZER CURTO - CI250789 (VERDE (Ageve Green TCX) (18-5806), G),bing / organic,3,1,0,0,0
BLAZER CURTO - CI250789 (VERDE (Ageve Green TCX) (18-5806), G),br.search.yahoo.com / referral,3,0,0,0,0
BLAZER CURTO - CI250789 (VERDE (Ageve Green TCX) (18-5806), G),facebook / cpc01_adv aberto_best_sellers profundidade,3,0,0,0,0
BLAZER CURTO - CI250789 (VERDE (Ageve Green TCX) (18-5806), G),facebook / cpc02_aberto_top/estados_all,3,0,0,0,0
BLAZER CURTO - CI250789 (VERDE (Ageve Green TCX) (18-5806), P),INSTAGRAM / LINKTREE,3,0,3,0,0
BLAZER RISCA - CSI262046 (CINZA (Volcanic Glass (18-3908), G),facebook / cpc01_adv,3,0,0,0,0
BLAZER RISCA - CSI262046 (CINZA (Volcanic Glass (18-3908), G),google / organic,3,0,0,0,0
BLAZER SEM GOLA - CSI261724 (VERMELHO (High Risk Red TC) (18-1763), G),edrone / email,3,1,0,0,0
BLUSA ABERTURA - CAI251076 (NUDE (Chanterelle TC) (16-1414), G),bing / organic,3,0,0,0,0
BLUSA ALFAIATARIA - CSI250796 (VERDE (Avocado TC) (18-0430), G),(direct) / (none),3,2,0,0,0
