Nome do item,Origem / mídia da sessão,Sessões,Itens vistos,Itens adicionados ao carrinho,Itens comprados,Receita do item
VESTIDO AMPLO ANIMAL PRINT - CSI261824 (SI26R026 FORÇA SILENCIOSA ALT4 - OP6 ALT1 (CSI261823 e CSI26,facebook / cpc02_aberto_top/estados_all,471,4,0,0,0
VESTIDO CLÁSSIC - CSI262065 (PRETO (Raven TC) (19-0000), G),facebook / cpc02_aberto_top/estados_all,471,2,0,0,0
BLUSA BASIC - CSI261820 (BRANCO (off white) (11-0602), G),facebook / cpc02_aberto_top/estados_all,470,0,0,0,0
JAQUETA ANIMAL PRINT - CSI261826 (SI26R026 FORÇA SILENCIOSA ALT4 - OP6 ALT1 (CSI261823 e CSI26 (CC01,facebook / cpc02_aberto_top/estados_all,470,4,0,0,0
VESTIDO COM PREGAS - CSI261594 (LARANJA  (Tangerine Tango) (17-1463), G),facebook / cpc02_aberto_top/estados_all,470,6,0,0,0
VESTIDO TRANSPASSADO - CSI261600 (PRETO (Raven TC) (19-0000), G),facebook / cpc02_aberto_top/estados_all,469,8,0,0,0
BODY COM DECOTE - CI250812 (BRANCO (off white), G),google / cpc,464,16,0,0,0
VESTIDO BALONE VELUDO - CI262044 (PRETO (Raven TC) (19-0000), G),google / organic,464,2,0,0,0
MACACÃO LONGO COM FAIXA - CSI250594 (MARROM (Marsala TC, PP),google / cpc,459,3,0,0,0
VESTIDO COURO COM DETALHES DE RENDA - CI261923 (BEGE (Curds Whey) (16-0920), G),google / organic,450,1,0,0,0
VESTIDO CURTO RETO - CI261945 (BEGE (Jet Stream) (11-0605), G),google / organic,449,1,0,0,0
COORDENADO COLETE E CALÇA - CSI250692 (BEGE (Gray Sand TC), G),google / cpc,446,147,0,0,0
MACACÃO ALFAIATRIA COM LAPELA - CSI250684 (Gray Sand TC (13-1010), G),INSTAGRAM / LINKTREE,442,24,0,0,0
COORDENADO TOP E CALÇA - CV261461.C (Marshmallow TC (11-4300), G),google / cpc,441,38,0,0,0
FRENTE UNICA - CV261410.1 (Bege concha de areia(Sandshell TC) (13-0907), G),google / cpc,430,31,0,0,0
VESTIDO CURTO MANGA BUFANTE - CI250947 (BEGE(Sandshell TC) (13-0907), G),google / cpc,420,21,0,0,0
VESTIDO CURTO SEM MANGA LISO - CV261527 (VERDE ÁGUA (Dusty Aqua Green TC) (12-5506), G),google / cpc,415,16,1,0,0
VESTIDO BRILHOSO MANGA LONGA - CI250967 (Preto (Raven TC) (19-0000), G),google / cpc,411,25,0,0,0
VESTIDO TOMARA QUE CAIA BALONÊ - CI262069 (BEGE (Seedpearl TC) (12-0703), G),google / cpc,410,6,0,0,0
VESTIDO MIDI OMBRO A OMBRO - CI250907 (BEGE (Chanterelle TC) (16-1414), G),google / cpc,404,34,0,0,0
BLUSA GOLA ALTA - CRI250048 (Moon Rock TC (17-1210), G),INSTAGRAM / LINKTREE,402,28,1,0,0
CALÇA WIDE AMASSADA - CSI250597 (AZUL (Bijou Blue TC) (18-3921), G),INSTAGRAM / LINKTREE,401,48,0,0,0
VESTIDO CURTO MANGA LONGA RETILÍNEA - CRI250044 (NUDE (Toasted Almond TC) (14-1213), G),INSTAGRAM / LINKTREE,395,22,0,0,0
